word,sentence1,sentence2,same,ambiguity_type,Class,mean_relatedness,string
cell,It was a skin cell.,It was a brain cell.,True,Polysemy,N,3.947368421,cell
cell,It was a prison cell.,It was a jail cell.,True,Polysemy,N,4.0,cell
charm,She had a devilish charm.,She had a gold charm.,False,Polysemy,N,1.0,charm
charm,She had a devilish charm.,She had a good-luck charm.,False,Polysemy,N,0.727272727,charm
charm,She had a natural charm.,She had a gold charm.,False,Polysemy,N,0.588235294,charm
charm,She had a natural charm.,She had a good-luck charm.,False,Polysemy,N,1.285714286,charm
charm,She had a devilish charm.,She had a natural charm.,True,Polysemy,N,3.846153846,charm
charm,She had a gold charm.,She had a good-luck charm.,True,Polysemy,N,3.166666667,charm
check,He checked the engine.,He checked the alibi.,False,Polysemy,V,3.1,checked
check,He checked the engine.,He checked the facts.,False,Polysemy,V,2.857142857,checked
check,He checked the oven.,He checked the alibi.,False,Polysemy,V,2.684210526,checked
check,He checked the oven.,He checked the facts.,False,Polysemy,V,3.142857143,checked
check,He checked the engine.,He checked the oven.,True,Polysemy,V,3.666666667,checked
check,He checked the alibi.,He checked the facts.,True,Polysemy,V,3.6,checked
chicken,They liked the juicy chicken.,They liked the clucking chicken.,False,Polysemy,N,3.0,chicken
chicken,They liked the juicy chicken.,They liked the pet chicken.,False,Polysemy,N,2.888888889,chicken
chicken,They liked the roasted chicken.,They liked the clucking chicken.,False,Polysemy,N,3.555555556,chicken
chicken,They liked the roasted chicken.,They liked the pet chicken.,False,Polysemy,N,3.571428571,chicken
chicken,They liked the juicy chicken.,They liked the roasted chicken.,True,Polysemy,N,4.0,chicken
chicken,They liked the clucking chicken.,They liked the pet chicken.,True,Polysemy,N,3.5625,chicken
class,It was a perceptive class.,It was a boring class.,False,Polysemy,N,3.545454545,class
class,It was a perceptive class.,It was a stimulating class.,False,Polysemy,N,3.583333333,class
class,It was a misbehaving class.,It was a boring class.,False,Polysemy,N,2.9375,class
class,It was a misbehaving class.,It was a stimulating class.,False,Polysemy,N,2.8,class
class,It was a perceptive class.,It was a misbehaving class.,True,Polysemy,N,2.545454545,class
class,It was a boring class.,It was a stimulating class.,True,Polysemy,N,3.833333333,class
clear,He cleared the desk.,He cleared the path.,False,Polysemy,V,3.333333333,cleared
clear,He cleared the desk.,He cleared the road.,False,Polysemy,V,2.833333333,cleared
clear,He cleared the shelf.,He cleared the path.,False,Polysemy,V,3.466666667,cleared
clear,He cleared the shelf.,He cleared the road.,False,Polysemy,V,2.909090909,cleared
clear,He cleared the desk.,He cleared the shelf.,True,Polysemy,V,3.956521739,cleared
clear,He cleared the path.,He cleared the road.,True,Polysemy,V,3.9,cleared
clip,It was a film clip.,It was a hair clip.,False,Homonymy,N,0.7,clip
clip,It was a film clip.,It was a metal clip.,False,Homonymy,N,0.555555556,clip
clip,It was a video clip.,It was a hair clip.,False,Homonymy,N,0.4,clip
clip,It was a video clip.,It was a metal clip.,False,Homonymy,N,0.222222222,clip
clip,It was a film clip.,It was a video clip.,True,Homonymy,N,4.0,clip
clip,It was a hair clip.,It was a metal clip.,True,Homonymy,N,2.714285714,clip
clog,The dancer clogged.,The pipe clogged.,False,Polysemy,V,0.3,clogged
clog,The dancer clogged.,The sink clogged.,False,Polysemy,V,0.142857143,clogged
clog,The choreographer clogged.,The pipe clogged.,False,Polysemy,V,0.285714286,clogged
clog,The choreographer clogged.,The sink clogged.,False,Polysemy,V,0.461538462,clogged
clog,The dancer clogged.,The choreographer clogged.,True,Polysemy,V,3.368421053,clogged
clog,The pipe clogged.,The sink clogged.,True,Polysemy,V,4.0,clogged
cold,It was an icy cold.,It was a chest cold.,False,Polysemy,N,1.294117647,cold
cold,It was an icy cold.,It was a common cold.,False,Polysemy,N,0.875,cold
cold,It was a freezing cold.,It was a chest cold.,False,Polysemy,N,1.230769231,cold
cold,It was a freezing cold.,It was a common cold.,False,Polysemy,N,0.818181818,cold
cold,It was an icy cold.,It was a freezing cold.,True,Polysemy,N,3.842105263,cold
cold,It was a chest cold.,It was a common cold.,True,Polysemy,N,3.444444444,cold
column,It was a gossip column.,It was a concrete column.,False,Polysemy,N,0.125,column
column,It was a gossip column.,It was a marble column.,False,Polysemy,N,0.411764706,column
column,It was a sports column.,It was a concrete column.,False,Polysemy,N,0.111111111,column
column,It was a sports column.,It was a marble column.,False,Polysemy,N,0.555555556,column
column,It was a gossip column.,It was a sports column.,True,Polysemy,N,3.928571429,column
column,It was a concrete column.,It was a marble column.,True,Polysemy,N,3.727272727,column
company,He liked the investment company.,He liked the pleasant company.,False,Polysemy,N,1.0,company
company,He liked the investment company.,He liked the polite company.,False,Polysemy,N,0.733333333,company
company,He liked the pharmaceutical company.,He liked the pleasant company.,False,Polysemy,N,0.615384615,company
company,He liked the pharmaceutical company.,He liked the polite company.,False,Polysemy,N,0.3125,company
company,He liked the investment company.,He liked the pharmaceutical company.,True,Polysemy,N,3.5,company
company,He liked the pleasant company.,He liked the polite company.,True,Polysemy,N,3.764705882,company
cone,It was a waffle cone.,It was an orange cone.,False,Polysemy,N,1.785714286,cone
cone,It was a waffle cone.,It was a traffic cone.,False,Polysemy,N,1.133333333,cone
cone,It was a sugar cone.,It was an orange cone.,False,Polysemy,N,1.466666667,cone
cone,It was a sugar cone.,It was a traffic cone.,False,Polysemy,N,1.666666667,cone
cone,It was a waffle cone.,It was a sugar cone.,True,Polysemy,N,4.0,cone
cone,It was an orange cone.,It was a traffic cone.,True,Polysemy,N,3.647058824,cone
contribution,He made a charitable contribution.,He made a scholarly contribution.,False,Polysemy,N,3.375,contribution
contribution,He made a charitable contribution.,He made a well-written contribution.,False,Polysemy,N,1.9375,contribution
contribution,He made a voluntary contribution.,He made a scholarly contribution.,False,Polysemy,N,3.411764706,contribution
contribution,He made a voluntary contribution.,He made a well-written contribution.,False,Polysemy,N,2.857142857,contribution
contribution,He made a charitable contribution.,He made a voluntary contribution.,True,Polysemy,N,3.875,contribution
contribution,He made a scholarly contribution.,He made a well-written contribution.,True,Polysemy,N,3.076923077,contribution
count,That was the noble count.,That was the final count.,False,Homonymy,N,0.142857143,count
count,That was the noble count.,That was the correct count.,False,Homonymy,N,0.375,count
count,That was the vengeful count.,That was the final count.,False,Homonymy,N,0.75,count
count,That was the vengeful count.,That was the correct count.,False,Homonymy,N,0.9375,count
count,That was the noble count.,That was the vengeful count.,True,Homonymy,N,3.0,count
count,That was the final count.,That was the correct count.,True,Homonymy,N,3.416666667,count
course,It was an introductory course.,It was a charted course.,False,Polysemy,N,1.25,course
course,It was an introductory course.,It was a collision course.,False,Polysemy,N,1.375,course
course,It was a pass-fail course.,It was a charted course.,False,Polysemy,N,0.7,course
course,It was a pass-fail course.,It was a collision course.,False,Polysemy,N,1.111111111,course
course,It was an introductory course.,It was a pass-fail course.,True,Polysemy,N,3.909090909,course
course,It was a charted course.,It was a collision course.,True,Polysemy,N,2.222222222,course
cross,He crossed a road.,He crossed an enemy.,False,Polysemy,V,0.727272727,crossed
cross,He crossed a road.,He crossed a friend.,False,Polysemy,V,0.375,crossed
cross,He crossed a room.,He crossed an enemy.,False,Polysemy,V,0.882352941,crossed
cross,He crossed a room.,He crossed a friend.,False,Polysemy,V,0.642857143,crossed
cross,He crossed a road.,He crossed a room.,True,Polysemy,V,2.666666667,crossed
cross,He crossed an enemy.,He crossed a friend.,True,Polysemy,V,3.0,crossed
date,It was a dinner date.,It was an expiration date.,False,Polysemy,N,1.25,date
date,It was a dinner date.,It was a historical date.,False,Polysemy,N,1.176470588,date
date,It was a blind date.,It was an expiration date.,False,Polysemy,N,0.230769231,date
date,It was a blind date.,It was a historical date.,False,Polysemy,N,0.75,date
date,It was a dinner date.,It was a blind date.,True,Polysemy,N,3.882352941,date
date,It was an expiration date.,It was a historical date.,True,Polysemy,N,2.928571429,date
degree,It was about forty degrees.,It was about associate degrees.,False,Polysemy,N,0.071428571,degrees
degree,It was about forty degrees.,It was about college degrees.,False,Polysemy,N,0.166666667,degrees
degree,It was about fifty degrees.,It was about associate degrees.,False,Polysemy,N,0.076923077,degrees
degree,It was about fifty degrees.,It was about college degrees.,False,Polysemy,N,0.0,degrees
degree,It was about forty degrees.,It was about fifty degrees.,True,Polysemy,N,3.736842105,degrees
degree,It was about associate degrees.,It was about college degrees.,True,Polysemy,N,3.888888889,degrees
design,They liked the floral design.,They liked the product design.,False,Polysemy,N,2.888888889,design
design,They liked the floral design.,They liked the architectural design.,False,Polysemy,N,3.75,design
design,They liked the geometric design.,They liked the product design.,False,Polysemy,N,3.454545455,design
design,They liked the geometric design.,They liked the architectural design.,False,Polysemy,N,3.538461538,design
design,They liked the floral design.,They liked the geometric design.,True,Polysemy,N,3.9,design
design,They liked the product design.,They liked the architectural design.,True,Polysemy,N,3.5,design
dinner,They liked the turkey dinner.,They liked the formal dinner.,False,Polysemy,N,3.75,dinner
dinner,They liked the turkey dinner.,They liked the anniversary dinner.,False,Polysemy,N,3.733333333,dinner
dinner,They liked the light dinner.,They liked the formal dinner.,False,Polysemy,N,3.454545455,dinner
dinner,They liked the light dinner.,They liked the anniversary dinner.,False,Polysemy,N,3.846153846,dinner
dinner,They liked the turkey dinner.,They liked the light dinner.,True,Polysemy,N,3.846153846,dinner
dinner,They liked the formal dinner.,They liked the anniversary dinner.,True,Polysemy,N,3.923076923,dinner
drain,They drained the account.,They drained the pool.,False,Polysemy,V,1.615384615,drained
drain,They drained the account.,They drained the pond.,False,Polysemy,V,2.333333333,drained
drain,They drained the budget.,They drained the pool.,False,Polysemy,V,1.7,drained
drain,They drained the budget.,They drained the pond.,False,Polysemy,V,1.9375,drained
drain,They drained the account.,They drained the budget.,True,Polysemy,V,3.8,drained
drain,They drained the pool.,They drained the pond.,True,Polysemy,V,3.75,drained
draw,He drew a gun.,He drew a tree.,False,Polysemy,V,0.363636364,drew
draw,He drew a gun.,They drew a picture.,False,Polysemy,V,0.461538462,drew
draw,He drew a sword.,He drew a tree.,False,Polysemy,V,0.6,drew
draw,He drew a sword.,They drew a picture.,False,Polysemy,V,0.473684211,drew
draw,He drew a gun.,He drew a sword.,True,Polysemy,V,3.0625,drew
draw,He drew a tree.,They drew a picture.,True,Polysemy,V,4.0,drew
dream,He had a recurring dream.,He had a childhood dream.,False,Polysemy,N,2.5,dream
dream,He had a recurring dream.,He had a career dream.,False,Polysemy,N,1.764705882,dream
dream,He had a bad dream.,He had a childhood dream.,False,Polysemy,N,1.888888889,dream
dream,He had a bad dream.,He had a career dream.,False,Polysemy,N,1.777777778,dream
dream,He had a recurring dream.,He had a bad dream.,True,Polysemy,N,4.0,dream
dream,He had a childhood dream.,He had a career dream.,True,Polysemy,N,3.421052632,dream
drill,It was a grueling drill.,It was an electric drill.,False,Homonymy,N,0.4,drill
drill,It was a grueling drill.,It was a battery-powered drill.,False,Homonymy,N,0.636363636,drill
drill,It was a challenging drill.,It was an electric drill.,False,Homonymy,N,0.230769231,drill
drill,It was a challenging drill.,It was a battery-powered drill.,False,Homonymy,N,0.153846154,drill
drill,It was a grueling drill.,It was a challenging drill.,True,Homonymy,N,2.888888889,drill
drill,It was an electric drill.,It was a battery-powered drill.,True,Homonymy,N,4.0,drill
examination,It was a multiple-choice examination.,It was a prostate examination.,False,Polysemy,N,2.0,examination
examination,It was a multiple-choice examination.,It was a physical examination.,False,Polysemy,N,3.125,examination
examination,It was a difficult examination.,It was a prostate examination.,False,Polysemy,N,1.764705882,examination
examination,It was a difficult examination.,It was a physical examination.,False,Polysemy,N,2.625,examination
examination,It was a multiple-choice examination.,It was a difficult examination.,True,Polysemy,N,3.526315789,examination
examination,It was a prostate examination.,It was a physical examination.,True,Polysemy,N,4.0,examination
fan,They had an electric fan.,They had a zealous fan.,False,Homonymy,N,0.266666667,fan
fan,They had an electric fan.,They had an enthusiastic fan.,False,Homonymy,N,0.0,fan
fan,They had a ceiling fan.,They had a zealous fan.,False,Homonymy,N,0.2,fan
fan,They had a ceiling fan.,They had an enthusiastic fan.,False,Homonymy,N,0.071428571,fan
fan,They had an electric fan.,They had a ceiling fan.,True,Homonymy,N,3.9,fan
fan,They had a zealous fan.,They had an enthusiastic fan.,True,Homonymy,N,3.272727273,fan
file,She had a text file.,She had a nail file.,False,Homonymy,N,0.214285714,file
file,She had a text file.,She had a steel file.,False,Homonymy,N,0.384615385,file
file,She had a data file.,She had a nail file.,False,Homonymy,N,0.083333333,file
file,She had a data file.,She had a steel file.,False,Homonymy,N,0.25,file
file,She had a text file.,She had a data file.,True,Homonymy,N,3.6,file
file,She had a nail file.,She had a steel file.,True,Homonymy,N,1.8125,file
film,It was an action film.,It was a transparent film.,False,Polysemy,N,1.222222222,film
film,It was an action film.,It was a plastic film.,False,Polysemy,N,0.388888889,film
film,It was a censored film.,It was a transparent film.,False,Polysemy,N,1.444444444,film
film,It was a censored film.,It was a plastic film.,False,Polysemy,N,0.066666667,film
film,It was an action film.,It was a censored film.,True,Polysemy,N,3.8,film
film,It was a transparent film.,It was a plastic film.,True,Polysemy,N,3.4375,film
fix,They fixed the radio.,They fixed the date.,False,Polysemy,V,1.833333333,fixed
fix,They fixed the radio.,They fixed the price.,False,Polysemy,V,1.333333333,fixed
fix,They fixed the dishwasher.,They fixed the date.,False,Polysemy,V,0.833333333,fixed
fix,They fixed the dishwasher.,They fixed the price.,False,Polysemy,V,0.7,fixed
fix,They fixed the radio.,They fixed the dishwasher.,True,Polysemy,V,3.904761905,fixed
fix,They fixed the date.,They fixed the price.,True,Polysemy,V,2.615384615,fixed
foundation,It was a charitable foundation.,It was a wooden foundation.,False,Polysemy,N,0.583333333,foundation
foundation,It was a charitable foundation.,It was a concrete foundation.,False,Polysemy,N,1.0,foundation
foundation,It was an educational foundation.,It was a wooden foundation.,False,Polysemy,N,0.75,foundation
foundation,It was an educational foundation.,It was a concrete foundation.,False,Polysemy,N,1.555555556,foundation
foundation,It was a charitable foundation.,It was an educational foundation.,True,Polysemy,N,3.066666667,foundation
foundation,It was a wooden foundation.,It was a concrete foundation.,True,Polysemy,N,3.764705882,foundation
function,It was a mathematical function.,It was a social function.,False,Polysemy,N,0.933333333,function
function,It was a mathematical function.,It was a business function.,False,Polysemy,N,0.266666667,function
function,It was a linear function.,It was a social function.,False,Polysemy,N,0.2,function
function,It was a linear function.,It was a business function.,False,Polysemy,N,0.5,function
function,It was a mathematical function.,It was a linear function.,True,Polysemy,N,3.75,function
function,It was a social function.,It was a business function.,True,Polysemy,N,3.384615385,function
ground,He was on the firm ground.,He was on the camp ground.,False,Polysemy,N,2.285714286,ground
ground,He was on the firm ground.,He was on the parade ground.,False,Polysemy,N,1.846153846,ground
ground,He was on the frozen ground.,He was on the camp ground.,False,Polysemy,N,2.923076923,ground
ground,He was on the frozen ground.,He was on the parade ground.,False,Polysemy,N,3.5,ground
ground,He was on the firm ground.,He was on the frozen ground.,True,Polysemy,N,3.615384615,ground
ground,He was on the camp ground.,He was on the parade ground.,True,Polysemy,N,3.285714286,ground
guard,They liked the night guard.,They liked the coast guard.,False,Polysemy,N,2.647058824,guard
guard,They liked the night guard.,They liked the national guard.,False,Polysemy,N,1.777777778,guard
guard,They liked the security guard.,They liked the coast guard.,False,Polysemy,N,3.615384615,guard
guard,They liked the security guard.,They liked the national guard.,False,Polysemy,N,3.454545455,guard
guard,They liked the night guard.,They liked the security guard.,True,Polysemy,N,3.454545455,guard
guard,They liked the coast guard.,They liked the national guard.,True,Polysemy,N,3.8125,guard
guide,He had an assembly guide.,He had a talkative guide.,False,Polysemy,N,2.333333333,guide
guide,He had an assembly guide.,He had a friendly guide.,False,Polysemy,N,2.25,guide
guide,He had a TV guide.,He had a talkative guide.,False,Polysemy,N,1.1875,guide
guide,He had a TV guide.,He had a friendly guide.,False,Polysemy,N,1.0,guide
guide,He had an assembly guide.,He had a TV guide.,True,Polysemy,N,2.272727273,guide
guide,He had a talkative guide.,He had a friendly guide.,True,Polysemy,N,3.875,guide
hail,They hailed a cab.,They hailed a friend.,False,Polysemy,V,2.4,hailed
hail,They hailed a cab.,They hailed a guest.,False,Polysemy,V,1.727272727,hailed
hail,They hailed a taxi.,They hailed a friend.,False,Polysemy,V,2.692307692,hailed
hail,They hailed a taxi.,They hailed a guest.,False,Polysemy,V,2.1,hailed
hail,They hailed a cab.,They hailed a taxi.,True,Polysemy,V,4.0,hailed
hail,They hailed a friend.,They hailed a guest.,True,Polysemy,V,3.315789474,hailed
home,It was a summer home.,It was a funeral home.,False,Polysemy,N,2.153846154,home
home,It was a summer home.,It was a nursing home.,False,Polysemy,N,3.421052632,home
home,It was a childhood home.,It was a funeral home.,False,Polysemy,N,2.076923077,home
home,It was a childhood home.,It was a nursing home.,False,Polysemy,N,3.5,home
home,It was a summer home.,It was a childhood home.,True,Polysemy,N,3.818181818,home
home,It was a funeral home.,It was a nursing home.,True,Polysemy,N,2.846153846,home
intelligence,They had natural intelligence.,They had classified intelligence.,False,Polysemy,N,1.8,intelligence
intelligence,They had natural intelligence.,They had military intelligence.,False,Polysemy,N,3.333333333,intelligence
intelligence,They had innate intelligence.,They had classified intelligence.,False,Polysemy,N,2.333333333,intelligence
intelligence,They had innate intelligence.,They had military intelligence.,False,Polysemy,N,3.3125,intelligence
intelligence,They had natural intelligence.,They had innate intelligence.,True,Polysemy,N,3.545454545,intelligence
intelligence,They had classified intelligence.,They had military intelligence.,True,Polysemy,N,3.588235294,intelligence
issue,It was a sensitive issue.,It was a weekly issue.,False,Polysemy,N,0.8,issue
issue,It was a sensitive issue.,It was a special issue.,False,Polysemy,N,3.444444444,issue
issue,It was a political issue.,It was a weekly issue.,False,Polysemy,N,1.75,issue
issue,It was a political issue.,It was a special issue.,False,Polysemy,N,2.235294118,issue
issue,It was a sensitive issue.,It was a political issue.,True,Polysemy,N,3.8,issue
issue,It was a weekly issue.,It was a special issue.,True,Polysemy,N,2.642857143,issue
