"","List","Word","Same_sense","Sentence_1","Sentence_2","Sense_id_s1","Sense_id_s2","Gender_s1","Gender_s2","mean_relatedness","sd_relatedness","median_relatedness","count"
"19",1,"caudal","Different Sense","Era un caudal heredado","Era un caudal ecológico",1,2,"male","male",2.58823529411765,1.73417211982446,2,17
"20",1,"cinta","Different Sense","Usó la cinta decorativa","Usó la cinta quirúrgica",2,4,"female","female",2.88235294117647,1.65387246111877,3,17
"21",1,"cinta","Different Sense","Usó la cinta pegante","Usó la cinta rosada",1,2,"female","female",3.05882352941176,1.74894926439041,4,17
"22",1,"cinta","Same Sense","Usó la cinta adhesiva","Usó la cinta pegante",1,1,"female","female",4.88235294117647,0.485071250072666,5,17
"23",1,"clase","Same Sense","Se trataba de una clase de geología","Se trataba de una clase aburrida",2,2,"female","female",4.70588235294118,0.985184366143778,5,17
"24",1,"clima","Different Sense","El clima estaba tenso","El clima estaba lluvioso",1,2,"male","male",2.64705882352941,1.72992689406909,2,17
"25",1,"colonia","Different Sense","Era una colonia de hombre","Era una colonia rebelde",1,2,"female","female",1.41176470588235,0.618346942400842,1,17
"26",1,"colonia","Different Sense","Era una colonia fragante","Era una colonia de hormigas",1,3,"female","female",1.58823529411765,1.17573506419451,1,17
"27",1,"colonia","Same Sense","Era una colonia abandonada","Era una colonia rebelde",2,2,"female","female",4.05882352941176,1.14403825522216,4,17
"28",1,"colonia","Same Sense","Era una colonia oprimida","Era una colonia rebelde",2,2,"female","female",4.41176470588235,1.1213175023946,5,17
"29",1,"compañía","Same Sense","Le gustó la compañía teatral","Le gustó la compañía de actores",2,2,"female","female",4.23529411764706,1.34765591698632,5,17
"30",1,"copa","Different Sense","Él vio la copa deportiva","Él vio la copa vacía",1,2,"female","female",1.52941176470588,0.624264272846798,1,17
"31",1,"corazón","Different Sense","Tenía el corazón angustiado","Tenía el corazón operado",1,2,"male","male",3.76470588235294,1.39326109203847,4,17
"32",1,"cordón","Different Sense","Se trataba de un cordón biológico","Se trataba de un cordón inalámbrico",2,3,"male","male",2,1.3228756555323,1,17
"33",1,"cordón","Different Sense","Se trataba de un cordón de lona","Se trataba de un cordón inalámbrico",1,3,"male","male",2.76470588235294,1.64048056086875,2,17
"34",1,"corte","Different Sense","Le gustó la corte judicial","Le gustó el corte de pelo",2,3,"female","male",1.17647058823529,0.392952623996688,1,17
"35",1,"corte","Different Sense","Le gustó la corte suprema","Le gustó el corte asimétrico",2,3,"female","male",1.17647058823529,0.392952623996688,1,17
"36",1,"corteza","Different Sense","Estaba en la corteza geológica","Estaba en la corteza del árbol",1,2,"female","female",2.35294117647059,1.27186754767292,2,17
"37",1,"corteza","Different Sense","Estaba en la corteza terrestre","Estaba en la corteza cerebral",1,3,"female","female",2.29411764705882,1.35852428586835,2,17
"38",1,"corteza","Different Sense","Estaba en la corteza terrestre","Estaba en la corteza crocante",1,4,"female","female",2.23529411764706,1.2514697241996,2,17
"39",1,"corteza","Same Sense","Estaba en la corteza cerebral","Estaba en la corteza prefrontal",3,3,"female","female",4.82352941176471,0.528594139870924,5,17
"40",1,"cuadro","Different Sense","No le gustó el cuadro de síntomas","No le gustó el cuadro pintoresco",1,2,"male","male",1.17647058823529,0.528594139870924,1,17
"41",1,"cubo","Different Sense","Le gustó el cubo tridimensional","Le gustó el cubo plástico",1,2,"male","male",3.05882352941176,1.6759545129304,3,17
"42",1,"cuerdas","Different Sense","Tenía cuerdas de terreno","Tenía cuerdas vocales",2,3,"female","female",1.41176470588235,0.618346942400842,1,17
"43",1,"cuerdas","Different Sense","Tenía cuerdas forestadas","Tenía cuerdas inflamadas",2,3,"female","female",1.82352941176471,0.951005659660279,2,17
"44",1,"cuerdas","Different Sense","Tenía cuerdas sintéticas","Tenía cuerdas de terreno",1,2,"female","female",2.35294117647059,1.36661884182223,2,17
"45",1,"cuerdas","Different Sense","Tenía cuerdas sintéticas","Tenía cuerdas forestadas",1,2,"female","female",3.11764705882353,1.26897364734145,3,17
"46",1,"cuerdas","Same Sense","Tenía cuerdas de terreno","Tenía cuerdas forestadas",2,2,"female","female",2.76470588235294,1.34765591698632,3,17
"47",1,"depresión","Different Sense","Se trataba de una depresión geológica","Se trataba de una depresión psicológica",1,2,"female","female",1.47058823529412,0.799816155346303,1,17
"48",1,"fibra","Different Sense","Carecía fibra moral","Carecía fibra dietética",1,2,"female","female",2.17647058823529,1.23669388480168,2,17
"49",1,"frente","Different Sense","Era un frente lluvioso","Era una frente arrugada",1,2,"male","female",1.17647058823529,0.528594139870924,1,17
"50",1,"función","Different Sense","Era una función biológica","Era una función lineal",1,2,"female","female",2,0.935414346693485,2,17
"51",1,"hábito","Different Sense","Era un hábito irritante","Era un hábito de lona",1,2,"male","male",1.23529411764706,0.437237316097603,1,17
"52",1,"lengua","Different Sense","Le gusta la lengua castellana","Le gusta la lengua marinada",1,2,"female","female",1.23529411764706,0.562295714538387,1,17
"53",1,"lengua","Same Sense","Le gusta la lengua cocida","Le gusta la lengua marinada",2,2,"female","female",4.35294117647059,1.36661884182223,5,17
"54",1,"mano","Different Sense","Tenía una mano dura","Tenía una mano lastimada",1,2,"female","female",3.47058823529412,1.58578241961277,4,17
"55",1,"mano","Same Sense","Tenía una mano arrugada","Tenía una mano sudada",2,2,"female","female",4.52941176470588,1.32842232831014,5,17
"56",1,"nota","Different Sense","Era una nota aguda","Era una nota académica",1,2,"female","female",1.52941176470588,1.06757008311068,1,17
"57",1,"papa","Different Sense","Era una papa podrida","Era un papa jesuita",1,2,"female","male",1.47058823529412,1.32842232831014,1,17
"58",1,"pastor","Different Sense","Era un pastor evangélico","Era un pastor de ovejas",1,2,"male","male",2.29411764705882,1.35852428586835,3,17
"59",1,"periódico","Different Sense","Se trataba de un periódico global","Se trataba de un periódico plegado",1,2,"male","male",3.64705882352941,1.36661884182223,4,17
"60",1,"periódico","Different Sense","Se trataba de un periódico local","Se trataba de un periódico estrujado",1,2,"male","male",3.94117647058824,1.14403825522216,4,17
"61",1,"pico","Different Sense","Dibujó el pico montuno","Dibujó el pico amarillo",1,2,"male","male",2.47058823529412,1.2307338795828,3,17
"62",1,"pico","Same Sense","Dibujó el pico del ave","Dibujó el pico amarillo",2,2,"male","male",4.35294117647059,0.996316746232607,5,17
"63",1,"pieza","Different Sense","Le gustó la pieza flamenca","Le gustó la pieza añadida",1,2,"femael","female",2.47058823529412,1.50489397711365,2,17
"64",1,"pieza","Same Sense","Le gustó la pieza abstracta","Le gustó la pieza contemporánea",3,3,"female","female",4.64705882352941,0.996316746232607,5,17
"65",1,"pista","Different Sense","Era una pista de baile","Era una pista falsa",1,2,"female","female",1.11764705882353,0.332105582077536,1,17
"66",1,"pista","Same Sense","Era una pista clave","Era una pista falsa",2,2,"female","female",4.58823529411765,0.939336436627724,5,17
"67",1,"planta","Different Sense","Estaba en la planta baja","Estaba en la planta del pie",2,3,"female","female",1.47058823529412,0.874474632195206,1,17
"68",1,"planta","Same Sense","Estaba en la planta del pie","Estaba en la planta izquierda",3,3,"female","female",2.17647058823529,1.50977209031889,1,17
"69",1,"prima","Same Sense","Era una prima anual","Era una prima costosa",1,1,"female","female",4.17647058823529,1.38000426256801,5,17
"70",1,"pupila","Same Sense","Tenía una pupila estudiosa","Tenía una pupila aplicada",2,2,"female","female",4.47058823529412,1.12459142907677,5,17
"71",1,"químico","Different Sense","Era un químico negligente","Era un químico tóxico",1,2,"male","male",2.29411764705882,1.40377641926844,2,17
"72",1,"red","Different Sense","Era una red cibernética","Era una red de cuerda",1,2,"female","female",1.70588235294118,0.985184366143778,1,17
"73",1,"rosa","Same Sense","Era un rosa claro","Era un rosa tenue",2,2,"male","male",4.64705882352941,0.996316746232607,5,17
"74",1,"semilla","Same Sense","Era una semilla germinada","Era una semilla sembrada",2,2,"female","female",4.76470588235294,0.664211164155071,5,17
"75",1,"seno","Different Sense","Estaba en el seno familiar","Estaba en el seno izquiero",1,2,"male","male",1.23529411764706,0.562295714538387,1,17
"76",1,"seno","Different Sense","Estaba en el seno social","Estaba en el seno operado",1,2,"male","male",1.41176470588235,0.712287119900726,1,17
"77",1,"sierra","Different Sense","Era una sierra eléctrica","Era una sierra nevada",1,2,"female","female",1.17647058823529,0.528594139870924,1,17
"78",1,"sostén","Different Sense","Era un sostén emocional","Era un sostén sedoso",1,2,"male","male",1.58823529411765,0.939336436627724,1,17
"79",1,"sueño","Different Sense","Él abandonó su sueño","Él tenía sueño",1,2,"male","male",2,1.17260393995586,1,17
"80",1,"sueño","Same Sense","Él alcanzó su sueño","Él abandonó su sueño",1,1,"male","male",4.76470588235294,0.970142500145332,5,17
"81",1,"título","Different Sense","Le gustó el título halagador","Le gustó el título legal",1,3,"male","male",2.47058823529412,1.46277335303626,3,17
"82",1,"título","Same Sense","Le gustó el título legal","Le gustó el título propietario",3,3,"male","male",4,1.11803398874989,4,17
"83",2,"ala","Different Sense","Le gustó el ala sureste","Le gustó el ala de águila",1,2,"female","female",1.18181818181818,0.603022689155527,1,11
"84",2,"algodón","Same Sense","Evaluó el algodón endulzado","Evaluó el algodón caramelizado",2,2,"male","male",5,0,5,11
"85",2,"arte","Same Sense","Se trataba del arte de mentir","Se trataba del arte de guerra",1,1,"male","male",4.27272727272727,1.00904995821903,5,11
"86",2,"banco","Same Sense","Era un banco plástico","Era un banco cómodo",2,2,"male","male",4.45454545454545,0.820199532264724,5,11
"87",2,"baño","Different Sense","Disfrutó el baño caliente","Disfrutó el baño privado",1,2,"male","male",3.63636363636364,1.36181696807811,4,11
"88",2,"baño","Different Sense","Disfrutó el baño caliente","Disfrutó el baño remodelado",1,2,"male","male",2.09090909090909,0.831209414593634,2,11
"89",2,"baño","Same Sense","Disfrutó el baño caliente","Disfrutó el baño frío",1,1,"male","male",4.45454545454545,1.29333958136573,5,11
"90",2,"cadena","Different Sense","Era una cadena de oro","Era una cadena de reo",1,2,"female","female",3.18181818181818,1.25045446283996,3,11
"91",2,"calle","Different Sense","Condujo en la calle marginal","Condujo en la calle resbalosa",1,2,"female","female",4.27272727272727,1.1037127426019,5,11
"92",2,"calle","Different Sense","Condujo en la calle principal","Condujo en la calle resbalosa",1,2,"female","female",4.72727272727273,0.646669790682863,5,11
"93",2,"cámara","Different Sense","Se trataba de la cámara digital","Se trataba de la cámara remodelada",2,3,"female","female",1.45454545454545,0.820199532264724,1,11
"94",2,"capital","Different Sense","Le gustó la capital holandesa","Le gustó el capital económico",1,2,"female","male",1.09090909090909,0.301511344577764,1,11
"95",2,"carrera","Same Sense","Fue una carrera benéfica","Fue una carrera olímpica",2,2,"female","female",4,1.48323969741913,5,11
"96",2,"cima","Different Sense","Estaba en la cima de la montaña","Estaba en la cima de la fama",1,2,"female","female",2.63636363636364,1.5015143870591,2,11
"97",2,"cinta","Different Sense","Usó la cinta adhesiva","Usó la cinta métrica",1,3,"female","female",3.36363636363636,1.43336856898198,4,11
"98",2,"clase","Different Sense","Se trataba de una clase media","Se trataba de una clase aburrida",1,2,"female","female",1.54545454545455,0.522232967867094,2,11
"99",2,"clase","Different Sense","Se trataba de una clase social","Se trataba de una clase de geología",1,2,"female","female",1.72727272727273,1.1908743922773,1,11
"100",2,"colonia","Different Sense","Era una colonia sutil","Era una colonia rebelde",1,2,"female","female",1.72727272727273,1.1037127426019,1,11
"101",2,"columna","Different Sense","Era una columna decorativa","Era una columna vertebral",1,2,"female","female",1.45454545454545,0.687551650952329,1,11
"102",2,"compás","Different Sense","Él navegaba con el compás","Él cantaba al compás",1,2,"male","male",1.45454545454545,0.934198732993827,1,11
"103",2,"corazón","Different Sense","Tenía el corazón partido","Tenía el corazón operado",1,2,"male","male",3.54545454545455,1.50755672288882,4,11
"104",2,"corteza","Different Sense","Estaba en la corteza geológica","Estaba en la corteza comestible",1,4,"female","female",2,1.18321595661992,2,11
"105",2,"corteza","Different Sense","Estaba en la corteza geológica","Estaba en la corteza prefrontal",1,3,"female","female",1.72727272727273,1.27207775634268,1,11
"106",2,"corteza","Different Sense","Estaba en la corteza prefrontal","Estaba en la corteza crocante",3,4,"female","female",1.45454545454545,0.687551650952329,1,11
"107",2,"corteza","Same Sense","Estaba en la corteza del árbol","Estaba en la corteza del roble",2,2,"female","female",4.63636363636364,0.924416277737175,5,11
"108",2,"corteza","Same Sense","Estaba en la corteza terrestre","Estaba en la corteza geológica",1,1,"female","female",4.72727272727273,0.904534033733291,5,11
"109",2,"cuadro","Different Sense","No le gustó el cuadro diagnóstico","No le gustó el cuadro pintoresco",1,2,"male","male",1.09090909090909,0.301511344577764,1,11
"110",2,"cuerdas","Different Sense","Tenía cuerdas sintéticas","Tenía cuerdas vocales",1,3,"female","female",1.81818181818182,1.16774841624228,2,11
"111",2,"cura","Different Sense","Era un cura compasivo","Era una cura efectiva",1,2,"male","female",1.09090909090909,0.301511344577764,1,11
"112",2,"cura","Same Sense","Era una cura efectiva","Era una cura potente",2,2,"female","female",4.36363636363636,1.43336856898198,5,11
"113",2,"depresión","Different Sense","Se trataba de una depresión geológica","Se trataba de una depresión mental",1,2,"female","female",1.27272727272727,0.467099366496914,1,11
"114",2,"depresión","Same Sense","Se trataba de una depresión geológica","Se trataba de una depresión terrestre",1,1,"female","female",4.45454545454545,1.21355975243384,5,11
"115",2,"fibra","Different Sense","Carecía fibra dietética","Carecía fibra muscular",2,3,"female","female",1.81818181818182,0.981649817214043,2,11
"116",2,"fibra","Different Sense","Carecía fibra moral","Carecía fibra nutritiva",1,2,"female","female",1.63636363636364,0.80903983495589,1,11
"117",2,"frase","Different Sense","Le gustó la frase musical","Le gustó la frase poética",1,2,"female","female",4.27272727272727,1.00904995821903,5,11
"118",2,"función","Different Sense","Era una función biológica","Era una función matemática",1,2,"female","female",2.27272727272727,1.34839972492648,2,11
"119",2,"gato","Different Sense","Compró el gato para el niño","Compró el gato para el auto",1,2,"male","male",1.09090909090909,0.301511344577764,1,11
"120",2,"hábito","Different Sense","Era un hábito irritante","Era un hábito de monje",1,2,"male","male",1.72727272727273,1.42062726222673,1,11
"121",2,"hábito","Different Sense","Era un hábito rutinario","Era un hábito de lona",1,2,"male","male",1.36363636363636,0.674199862463242,1,11
"122",2,"lengua","Different Sense","Le gusta la lengua castellana","Le gusta la lengua cocida",1,2,"female","female",1.27272727272727,0.646669790682863,1,11
"123",2,"mano","Same Sense","Tenía una mano de hierro","Tenía una mano dura",1,1,"female","female",3.72727272727273,1.34839972492648,4,11
"124",2,"mano","Same Sense","Tenía una mano lastimada","Tenía una mano sudada",2,2,"female","female",4.81818181818182,0.603022689155527,5,11
"125",2,"muñeca","Different Sense","Tenía una muñeca fracturada","Tenía una muñeca plástica",1,2,"female","female",1.18181818181818,0.404519917477945,1,11
"126",2,"naranja","Different Sense","Era una naranja jugosa","Era un naranja brillante",1,2,"female","male",3.36363636363636,1.68954001270922,3,11
"127",2,"nota","Same Sense","Era una nota desafinada","Era una nota aguda",1,1,"female","female",4.90909090909091,0.301511344577764,5,11
"128",2,"ola","Different Sense","Se trataba de una ola marítima","Se trataba de una ola criminal",1,2,"female","female",1.54545454545455,1.21355975243384,1,11
"129",2,"ola","Different Sense","Se trataba de una ola navegable","Se trataba de una ola criminal",1,2,"female","female",1.18181818181818,0.404519917477945,1,11
"130",2,"orden","Different Sense","Es una orden ejecutiva","Es una orden católica",1,2,"female","female",2,1.4142135623731,1,11
"131",2,"orden","Different Sense","Es una orden ejecutiva","Es una orden religiosa",1,2,"female","female",2.18181818181818,1.53741222957161,2,11
"132",2,"palma","Different Sense","Estaba en la palma frondosa","Estaba en la palma derecha",1,2,"female","female",1.27272727272727,0.646669790682863,1,11
"133",2,"papa","Different Sense","Era una papa podrida","Era un papa conservador",1,2,"female","male",1,0,1,11
"134",2,"pata","Different Sense","Ella vio la pata de la mesa","Ella vio la pata de la gata",1,2,"female","female",2.18181818181818,1.25045446283996,2,11
"135",2,"periódico","Different Sense","Se trataba de un periódico local","Se trataba de un periódico plegado",1,2,"male","male",4.18181818181818,1.25045446283996,5,11
"136",2,"pieza","Different Sense","Le gustó la pieza flamenca","Le gustó la pieza alterada",1,2,"femael","female",2.09090909090909,1.22102788293679,2,11
"137",2,"planta","Different Sense","Estaba en la planta tropical","Estaba en la planta del pie",1,3,"female","female",1.09090909090909,0.301511344577764,1,11
"138",2,"planta","Different Sense","Estaba en la planta venenosa","Estaba en la planta del pie",1,3,"female","female",1.09090909090909,0.301511344577764,1,11
"139",2,"planta","Same Sense","Estaba en la planta tropical","Estaba en la planta venenosa",1,1,"female","female",4.45454545454545,1.03572548135463,5,11
"140",2,"pluma","Different Sense","Tenía una pluma albina","Tenía una pluma estilográfica",1,2,"female","female",1.54545454545455,0.820199532264724,1,11
"141",2,"posición","Different Sense","Estaba en una posición sentada","Estaba en una posición ventajosa",1,2,"female","female",1.81818181818182,1.07871977994119,1,11
"142",2,"prima","Different Sense","Era una prima anual","Era una prima atenta",1,2,"female","female",1,0,1,11
"143",2,"pupila","Different Sense","Tenía una pupila contraída","Tenía una pupila aplicada",1,2,"female","female",1.27272727272727,0.646669790682863,1,11
"144",2,"rama","Different Sense","Era una rama competitiva","Era una rama disecada",1,2,"female","female",1.18181818181818,0.404519917477945,1,11
"145",2,"rama","Different Sense","Era una rama médica","Era una rama disecada",1,2,"female","female",1.18181818181818,0.404519917477945,1,11
"146",2,"rama","Same Sense","Era una rama disecada","Era una rama retorcida",2,2,"female","female",4.18181818181818,0.981649817214043,4,11
"147",2,"raya","Different Sense","Dibujó una raya recta","Dibujó una raya marina",1,2,"female","female",1.36363636363636,0.504524979109513,1,11
"148",2,"raya","Same Sense","Dibujó una raya marina","Dibujó una raya endémica",2,2,"female","female",2.09090909090909,1.57826141399614,1,11
"149",2,"raya","Same Sense","Dibujó una raya recta","Dibujó una raya precisa",1,1,"female","female",4.63636363636364,0.924416277737175,5,11
"150",2,"resistencia","Different Sense","Se trataba de una resistencia de circuito","Se trataba de una resistencia política",1,2,"female","female",1.27272727272727,0.467099366496914,1,11
"151",2,"resistencia","Different Sense","Se trataba de una resistencia eléctrica","Se trataba de una resistencia militar",1,2,"female","female",1.45454545454545,0.687551650952329,1,11
"152",2,"serie","Same Sense","Se trataba de una serie televisiva","Se trataba de una serie animada",1,1,"female","female",4.90909090909091,0.301511344577764,5,11
"153",2,"sierra","Different Sense","Era una sierra automática","Era una sierra forestada",1,2,"female","female",1.54545454545455,1.29333958136573,1,11
"154",2,"sueño","Different Sense","Él alcanzó su sueño","Él tenía sueño",1,2,"male","male",1.54545454545455,0.934198732993827,1,11
"155",2,"tabla","Different Sense","Le gustó la tabla astillada","Le gustó la tabla de ajedrez",1,2,"female","female",2.81818181818182,1.77866139656663,2,11
"156",2,"tabla","Different Sense","Le gustó la tabla astillada","Le gustó la tabla de juego",1,2,"female","female",2.27272727272727,1.55505042303516,2,11
"157",2,"taco","Different Sense","Le gustó el taco delicioso","Le gustó el taco puntiagudo",1,2,"male","male",1.27272727272727,0.646669790682863,1,11
"158",2,"taco","Same Sense","Le gustó el taco mexicano","Le gustó el taco delicioso",1,1,"male","male",4.81818181818182,0.404519917477945,5,11
"159",2,"tecla","Different Sense","Tocó la tecla del ordenador","Tocó la tecla afinada",1,2,"female","female",2.63636363636364,1.43336856898198,3,11
"160",2,"título","Different Sense","Le gustó el título halagador","Le gustó el título del libro",1,2,"male","male",2.81818181818182,1.53741222957161,3,11
"161",2,"vaso","Different Sense","Se trataba de un vaso cristalino","Se trataba de un vaso sanguíneo",1,2,"male","male",1.09090909090909,0.301511344577764,1,11
"162",2,"vela","Different Sense","Ella vio la vela del barco","Ella vio la vela derretida",1,2,"female","female",1.09090909090909,0.301511344577764,1,11
"163",2,"volumen","Different Sense","Aumentó el volumen de la corriente","Aumentó el volumen de la bocina",1,2,"male","male",2.18181818181818,1.32801971507819,2,11
"164",2,"volumen","Different Sense","Aumentó el volumen del agua","Aumentó el volumen de la bocina",1,2,"male","male",2,1.4142135623731,1,11
"165",3,"ala","Different Sense","Le gustó el ala remodelada","Le gustó el ala de águila",1,2,"female","female",1.83333333333333,1.40345893053447,1,12
"166",3,"arte","Different Sense","Se trataba del arte de guerra","Se trataba del arte abstracto",1,2,"male","male",3.33333333333333,1.43548112513055,3,12
"167",3,"arte","Different Sense","Se trataba del arte de mentir","Se trataba del arte abstracto",1,2,"male","male",3.08333333333333,1.50504203102489,3.5,12
"168",3,"cadena","Different Sense","Era una cadena elegante","Era una cadena de hierro",1,2,"female","female",3.41666666666667,1.50504203102489,3.5,12
"169",3,"cadena","Different Sense","Era una cadena elegante","Era una cadena de reo",1,2,"female","female",2.58333333333333,1.50504203102489,2.5,12
"170",3,"cadena","Same Sense","Era una cadena de radio","Era una cadena televisiva",3,3,"female","female",4.58333333333333,0.792961461098759,5,12
"171",3,"caja","Different Sense","Ella vio la caja sellada","Ella vio la caja percusiva",2,3,"female","female",2.75,1.76454990398015,2,12
"172",3,"campo","Different Sense","Era un campo competitivo","Era un campo cultivado",1,2,"male","male",1.5,1.16774841624228,1,12
"173",3,"canal","Same Sense","Estaba en el canal cervical","Estaba en el canal uterino",3,3,"male","male",4.83333333333333,0.577350269189626,5,12
"174",3,"carrera","Different Sense","Fue una carrera universitaria","Fue una carrera benéfica",1,2,"female","female",1.66666666666667,1.07308673997732,1,12
"175",3,"cartel","Different Sense","Era un cartel informativo","Era un cartel peligroso",1,2,"male","male",2,1.65144564768954,1,12
"176",3,"caudal","Same Sense","Era un caudal ambiental","Era un caudal ecológico",2,2,"male","male",4.58333333333333,0.668557923421521,5,12
"177",3,"cima","Different Sense","Estaba en la cima de la loma","Estaba en la cima de la fama",1,2,"female","female",3.16666666666667,1.52752523165195,3,12
"178",3,"cinta","Different Sense","Usó la cinta decorativa","Usó la cinta métrica",2,3,"female","female",3.5,1.44599761096244,4,12
"179",3,"cinta","Different Sense","Usó la cinta pegante","Usó la cinta decorativa",1,2,"female","female",3.83333333333333,1.40345893053447,4.5,12
"180",3,"clave","Different Sense","Era la clave musical","Era la clave al caso",1,2,"female","female",1.83333333333333,1.02985730108887,1.5,12
"181",3,"colonia","Different Sense","Era una colonia abandonada","Era una colonia bacteriana",2,3,"female","female",1.83333333333333,0.937436866561092,1.5,12
"182",3,"colonia","Different Sense","Era una colonia oprimida","Era una colonia de hormigas",2,3,"female","female",2.91666666666667,1.56427928995103,3,12
"183",3,"colonia","Different Sense","Era una colonia rebelde","Era una colonia bacteriana",2,3,"female","female",2.16666666666667,1.02985730108887,2,12
"184",3,"colonia","Different Sense","Era una colonia rebelde","Era una colonia de hormigas",2,3,"female","female",3,1.53741222957161,3.5,12
"185",3,"columna","Different Sense","Era una columna de mármol","Era una columna vertebral",1,2,"female","female",1.83333333333333,1.02985730108887,1.5,12
"186",3,"compañía","Different Sense","Le gustó la compañía de inversiones","Le gustó la compañía de actores",1,2,"female","female",3.5,1.50755672288882,4,12
"187",3,"compañía","Different Sense","Le gustó la compañía financiera","Le gustó la compañía de actores",1,2,"female","female",3.83333333333333,1.33711584684304,4,12
"188",3,"compás","Different Sense","Él navegaba con el compás","Él bailaba al compás",1,2,"male","male",1.33333333333333,0.887625364598595,1,12
"189",3,"cordón","Different Sense","Se trataba de un cordón de lona","Se trataba de un cordón eléctrico",1,3,"male","male",3.66666666666667,1.30267789455786,4,12
"190",3,"corte","Different Sense","Le gustó la corte noble","Le gustó la corte judicial",1,2,"female","female",3.08333333333333,1.31137217055151,3,12
"191",3,"corte","Different Sense","Le gustó la corte suprema","Le gustó el corte de pelo",2,3,"female","male",1,0,1,12
"192",3,"corteza","Different Sense","Estaba en la corteza cerebral","Estaba en la corteza crocante",3,4,"female","female",2.16666666666667,1.19341628287971,2,12
"193",3,"corteza","Different Sense","Estaba en la corteza del roble","Estaba en la corteza cerebral",2,3,"female","female",2.5,1.38169855941551,2.5,12
"194",3,"corteza","Different Sense","Estaba en la corteza del roble","Estaba en la corteza prefrontal",2,3,"female","female",2.58333333333333,1.44337567297406,2.5,12
"195",3,"corteza","Different Sense","Estaba en la corteza geológica","Estaba en la corteza del roble",1,2,"female","female",3.5,1.24316312101612,3.5,12
"196",3,"corteza","Different Sense","Estaba en la corteza terrestre","Estaba en la corteza comestible",1,4,"female","female",2.25,1.35680105059994,2,12
"197",3,"corteza","Different Sense","Estaba en la corteza terrestre","Estaba en la corteza del roble",1,2,"female","female",3.25,1.28805702866407,3.5,12
"198",3,"cuadro","Different Sense","No le gustó el cuadro clíninco","No le gustó el cuadro barroco",1,2,"male","male",1.33333333333333,1.15470053837925,1,12
"199",3,"cuadro","Different Sense","No le gustó el cuadro diagnóstico","No le gustó el cuadro antiguo",1,2,"male","male",1.25,0.452267016866645,1,12
"200",3,"cuadro","Same Sense","No le gustó el cuadro clíninco","No le gustó el cuadro de síntomas",1,1,"male","male",4.75,0.621581560508061,5,12
"201",3,"cuadro","Same Sense","No le gustó el cuadro pintoresco","No le gustó el cuadro antiguo",2,2,"male","male",4.91666666666667,0.288675134594813,5,12
"202",3,"cubo","Different Sense","Le gustó el cubo geométrico","Le gustó el cubo de madera",1,2,"male","male",4.16666666666667,1.33711584684304,5,12
