,Word,Model,Target_tokens,Num_tokens_s1,Num_tokens_s2
0,canal,bert-base-spanish-wwm-cased,[7253],8,9
0,capa,bert-base-spanish-wwm-cased,[3962],10,9
0,capa,bert-base-spanish-wwm-cased,[3962],10,8
0,capa,bert-base-spanish-wwm-cased,[3962],10,9
0,capa,bert-base-spanish-wwm-cased,[3962],9,8
0,capa,bert-base-spanish-wwm-cased,[3962],9,9
0,capa,bert-base-spanish-wwm-cased,[3962],8,9
0,capital,bert-base-spanish-wwm-cased,[3611],9,7
0,capital,bert-base-spanish-wwm-cased,[3611],9,7
0,capital,bert-base-spanish-wwm-cased,[3611],9,7
0,capital,bert-base-spanish-wwm-cased,[3611],7,7
0,capital,bert-base-spanish-wwm-cased,[3611],7,7
0,capital,bert-base-spanish-wwm-cased,[3611],7,7
0,carrera,bert-base-spanish-wwm-cased,[4190],6,6
0,carrera,bert-base-spanish-wwm-cased,[4190],6,6
0,carrera,bert-base-spanish-wwm-cased,[4190],6,7
0,carrera,bert-base-spanish-wwm-cased,[4190],6,8
0,carrera,bert-base-spanish-wwm-cased,[4190],6,7
0,carrera,bert-base-spanish-wwm-cased,[4190],6,6
0,carrera,bert-base-spanish-wwm-cased,[4190],6,7
0,carrera,bert-base-spanish-wwm-cased,[4190],6,8
0,carrera,bert-base-spanish-wwm-cased,[4190],6,7
0,carrera,bert-base-spanish-wwm-cased,[4190],6,7
0,carrera,bert-base-spanish-wwm-cased,[4190],6,8
0,carrera,bert-base-spanish-wwm-cased,[4190],6,7
0,carrera,bert-base-spanish-wwm-cased,[4190],7,8
0,carrera,bert-base-spanish-wwm-cased,[4190],7,7
0,carrera,bert-base-spanish-wwm-cased,[4190],8,7
0,cartel,bert-base-spanish-wwm-cased,[16700],7,6
0,cartel,bert-base-spanish-wwm-cased,[16700],7,6
0,cartel,bert-base-spanish-wwm-cased,[16700],7,6
0,cartel,bert-base-spanish-wwm-cased,[16700],6,6
0,cartel,bert-base-spanish-wwm-cased,[16700],6,6
0,cartel,bert-base-spanish-wwm-cased,[16700],6,6
0,casco,bert-base-spanish-wwm-cased,[12491],7,9
0,casco,bert-base-spanish-wwm-cased,[12491],7,7
0,casco,bert-base-spanish-wwm-cased,[12491],7,9
0,casco,bert-base-spanish-wwm-cased,[12491],9,7
0,casco,bert-base-spanish-wwm-cased,[12491],9,9
0,casco,bert-base-spanish-wwm-cased,[12491],7,9
0,caudal,bert-base-spanish-wwm-cased,[19915],6,7
0,caudal,bert-base-spanish-wwm-cased,[19915],6,6
0,caudal,bert-base-spanish-wwm-cased,[19915],6,6
0,caudal,bert-base-spanish-wwm-cased,[19915],7,6
0,caudal,bert-base-spanish-wwm-cased,[19915],7,6
0,caudal,bert-base-spanish-wwm-cased,[19915],6,6
0,cima,bert-base-spanish-wwm-cased,[14411],9,10
0,cima,bert-base-spanish-wwm-cased,[14411],9,9
0,cima,bert-base-spanish-wwm-cased,[14411],9,9
0,cima,bert-base-spanish-wwm-cased,[14411],10,9
0,cima,bert-base-spanish-wwm-cased,[14411],10,9
0,cima,bert-base-spanish-wwm-cased,[14411],9,9
0,cinta,bert-base-spanish-wwm-cased,[9946],8,9
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],9,8
0,cinta,bert-base-spanish-wwm-cased,[9946],9,8
0,cinta,bert-base-spanish-wwm-cased,[9946],9,8
0,cinta,bert-base-spanish-wwm-cased,[9946],9,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,cinta,bert-base-spanish-wwm-cased,[9946],8,8
0,clase,bert-base-spanish-wwm-cased,[3422],8,8
0,clase,bert-base-spanish-wwm-cased,[3422],8,10
0,clase,bert-base-spanish-wwm-cased,[3422],8,8
0,clase,bert-base-spanish-wwm-cased,[3422],8,10
0,clase,bert-base-spanish-wwm-cased,[3422],8,8
0,clase,bert-base-spanish-wwm-cased,[3422],10,8
0,clave,bert-base-spanish-wwm-cased,[5714],6,7
0,clave,bert-base-spanish-wwm-cased,[5714],6,6
0,clave,bert-base-spanish-wwm-cased,[5714],6,7
0,clave,bert-base-spanish-wwm-cased,[5714],7,6
0,clave,bert-base-spanish-wwm-cased,[5714],7,7
0,clave,bert-base-spanish-wwm-cased,[5714],6,7
0,clima,bert-base-spanish-wwm-cased,[7285],7,7
0,clima,bert-base-spanish-wwm-cased,[7285],7,6
0,clima,bert-base-spanish-wwm-cased,[7285],7,7
0,clima,bert-base-spanish-wwm-cased,[7285],7,6
0,clima,bert-base-spanish-wwm-cased,[7285],7,7
0,clima,bert-base-spanish-wwm-cased,[7285],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,6
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,6
0,colonia,bert-base-spanish-wwm-cased,[13989],7,6
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],6,6
0,colonia,bert-base-spanish-wwm-cased,[13989],6,6
0,colonia,bert-base-spanish-wwm-cased,[13989],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,6
0,colonia,bert-base-spanish-wwm-cased,[13989],7,6
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,6
0,colonia,bert-base-spanish-wwm-cased,[13989],7,6
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,colonia,bert-base-spanish-wwm-cased,[13989],6,6
0,colonia,bert-base-spanish-wwm-cased,[13989],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],6,7
0,colonia,bert-base-spanish-wwm-cased,[13989],7,7
0,columna,bert-base-spanish-wwm-cased,[10389],7,7
0,columna,bert-base-spanish-wwm-cased,[10389],7,7
0,columna,bert-base-spanish-wwm-cased,[10389],7,8
0,columna,bert-base-spanish-wwm-cased,[10389],7,7
0,columna,bert-base-spanish-wwm-cased,[10389],7,8
0,columna,bert-base-spanish-wwm-cased,[10389],7,8
0,compañía,bert-base-spanish-wwm-cased,[4443],8,7
0,compañía,bert-base-spanish-wwm-cased,[4443],8,7
0,compañía,bert-base-spanish-wwm-cased,[4443],8,8
0,compañía,bert-base-spanish-wwm-cased,[4443],7,7
0,compañía,bert-base-spanish-wwm-cased,[4443],7,8
0,compañía,bert-base-spanish-wwm-cased,[4443],7,8
0,compás,bert-base-spanish-wwm-cased,"[1327, 1134]",10,9
0,compás,bert-base-spanish-wwm-cased,"[1327, 1134]",10,9
0,compás,bert-base-spanish-wwm-cased,"[1327, 1134]",10,9
0,compás,bert-base-spanish-wwm-cased,"[1327, 1134]",9,9
0,compás,bert-base-spanish-wwm-cased,"[1327, 1134]",9,9
0,compás,bert-base-spanish-wwm-cased,"[1327, 1134]",9,9
0,copa,bert-base-spanish-wwm-cased,[9216],8,8
0,copa,bert-base-spanish-wwm-cased,[9216],8,8
0,copa,bert-base-spanish-wwm-cased,[9216],8,8
0,copa,bert-base-spanish-wwm-cased,[9216],8,9
0,copa,bert-base-spanish-wwm-cased,[9216],8,8
0,copa,bert-base-spanish-wwm-cased,[9216],8,8
0,copa,bert-base-spanish-wwm-cased,[9216],8,9
0,copa,bert-base-spanish-wwm-cased,[9216],8,8
0,copa,bert-base-spanish-wwm-cased,[9216],8,9
0,copa,bert-base-spanish-wwm-cased,[9216],8,9
0,corazón,bert-base-spanish-wwm-cased,[3440],6,7
0,corazón,bert-base-spanish-wwm-cased,[3440],6,7
0,corazón,bert-base-spanish-wwm-cased,[3440],6,7
0,corazón,bert-base-spanish-wwm-cased,[3440],7,7
0,corazón,bert-base-spanish-wwm-cased,[3440],7,7
0,corazón,bert-base-spanish-wwm-cased,[3440],7,7
0,cordón,bert-base-spanish-wwm-cased,[30720],9,10
0,cordón,bert-base-spanish-wwm-cased,[30720],9,10
0,cordón,bert-base-spanish-wwm-cased,[30720],9,8
0,cordón,bert-base-spanish-wwm-cased,[30720],9,8
0,cordón,bert-base-spanish-wwm-cased,[30720],9,10
0,cordón,bert-base-spanish-wwm-cased,[30720],10,10
0,cordón,bert-base-spanish-wwm-cased,[30720],10,8
0,cordón,bert-base-spanish-wwm-cased,[30720],10,8
0,cordón,bert-base-spanish-wwm-cased,[30720],10,10
0,cordón,bert-base-spanish-wwm-cased,[30720],10,8
0,cordón,bert-base-spanish-wwm-cased,[30720],10,8
0,cordón,bert-base-spanish-wwm-cased,[30720],10,10
0,cordón,bert-base-spanish-wwm-cased,[30720],8,8
0,cordón,bert-base-spanish-wwm-cased,[30720],8,10
0,cordón,bert-base-spanish-wwm-cased,[30720],8,10
0,corte,bert-base-spanish-wwm-cased,[5972],7,7
0,corte,bert-base-spanish-wwm-cased,[5972],7,7
0,corte,bert-base-spanish-wwm-cased,[5972],7,7
0,corte,bert-base-spanish-wwm-cased,[5972],7,8
0,corte,bert-base-spanish-wwm-cased,[5972],7,9
0,corte,bert-base-spanish-wwm-cased,[5972],7,7
0,corte,bert-base-spanish-wwm-cased,[5972],7,7
0,corte,bert-base-spanish-wwm-cased,[5972],7,8
0,corte,bert-base-spanish-wwm-cased,[5972],7,9
0,corte,bert-base-spanish-wwm-cased,[5972],7,7
0,corte,bert-base-spanish-wwm-cased,[5972],7,8
0,corte,bert-base-spanish-wwm-cased,[5972],7,9
0,corte,bert-base-spanish-wwm-cased,[5972],7,8
0,corte,bert-base-spanish-wwm-cased,[5972],7,9
0,corte,bert-base-spanish-wwm-cased,[5972],8,9
0,corteza,bert-base-spanish-wwm-cased,[21714],7,8
0,corteza,bert-base-spanish-wwm-cased,[21714],7,8
0,corteza,bert-base-spanish-wwm-cased,[21714],7,8
0,corteza,bert-base-spanish-wwm-cased,[21714],7,7
0,corteza,bert-base-spanish-wwm-cased,[21714],7,9
0,corteza,bert-base-spanish-wwm-cased,[21714],7,8
0,corteza,bert-base-spanish-wwm-cased,[21714],7,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,7
0,corteza,bert-base-spanish-wwm-cased,[21714],8,9
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,7
0,corteza,bert-base-spanish-wwm-cased,[21714],8,9
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,7
0,corteza,bert-base-spanish-wwm-cased,[21714],8,9
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,corteza,bert-base-spanish-wwm-cased,[21714],7,9
0,corteza,bert-base-spanish-wwm-cased,[21714],7,8
0,corteza,bert-base-spanish-wwm-cased,[21714],7,8
0,corteza,bert-base-spanish-wwm-cased,[21714],9,8
0,corteza,bert-base-spanish-wwm-cased,[21714],9,8
0,corteza,bert-base-spanish-wwm-cased,[21714],8,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],10,9
0,cuadro,bert-base-spanish-wwm-cased,[5792],10,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],10,9
0,cuadro,bert-base-spanish-wwm-cased,[5792],10,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],10,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],9,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],9,9
0,cuadro,bert-base-spanish-wwm-cased,[5792],9,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],9,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],8,9
0,cuadro,bert-base-spanish-wwm-cased,[5792],8,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],8,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],9,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],9,8
0,cuadro,bert-base-spanish-wwm-cased,[5792],8,8
0,cubo,bert-base-spanish-wwm-cased,[23743],8,8
0,cubo,bert-base-spanish-wwm-cased,[23743],8,7
0,cubo,bert-base-spanish-wwm-cased,[23743],8,8
0,cubo,bert-base-spanish-wwm-cased,[23743],8,7
0,cubo,bert-base-spanish-wwm-cased,[23743],8,8
0,cubo,bert-base-spanish-wwm-cased,[23743],7,8
0,cuerdas,bert-base-spanish-wwm-cased,[17299],7,5
0,cuerdas,bert-base-spanish-wwm-cased,[17299],7,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],7,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],7,5
0,cuerdas,bert-base-spanish-wwm-cased,[17299],7,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],5,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],5,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],5,5
0,cuerdas,bert-base-spanish-wwm-cased,[17299],5,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],6,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],6,5
0,cuerdas,bert-base-spanish-wwm-cased,[17299],6,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],6,5
0,cuerdas,bert-base-spanish-wwm-cased,[17299],6,6
0,cuerdas,bert-base-spanish-wwm-cased,[17299],5,6
0,cura,bert-base-spanish-wwm-cased,[10002],7,6
0,cura,bert-base-spanish-wwm-cased,[10002],7,6
0,cura,bert-base-spanish-wwm-cased,[10002],7,6
0,cura,bert-base-spanish-wwm-cased,[10002],6,6
0,cura,bert-base-spanish-wwm-cased,[10002],6,6
0,cura,bert-base-spanish-wwm-cased,[10002],6,6
0,cámara,bert-base-spanish-wwm-cased,[6388],9,8
0,cámara,bert-base-spanish-wwm-cased,[6388],9,8
0,cámara,bert-base-spanish-wwm-cased,[6388],9,8
0,cámara,bert-base-spanish-wwm-cased,[6388],9,9
0,cámara,bert-base-spanish-wwm-cased,[6388],9,8
0,cámara,bert-base-spanish-wwm-cased,[6388],8,8
0,cámara,bert-base-spanish-wwm-cased,[6388],8,8
0,cámara,bert-base-spanish-wwm-cased,[6388],8,9
0,cámara,bert-base-spanish-wwm-cased,[6388],8,8
0,cámara,bert-base-spanish-wwm-cased,[6388],8,8
0,cámara,bert-base-spanish-wwm-cased,[6388],8,9
0,cámara,bert-base-spanish-wwm-cased,[6388],8,8
0,cámara,bert-base-spanish-wwm-cased,[6388],8,9
0,cámara,bert-base-spanish-wwm-cased,[6388],8,8
0,cámara,bert-base-spanish-wwm-cased,[6388],9,8
0,código,bert-base-spanish-wwm-cased,[5510],7,7
0,código,bert-base-spanish-wwm-cased,[5510],7,8
0,código,bert-base-spanish-wwm-cased,[5510],7,7
0,código,bert-base-spanish-wwm-cased,[5510],7,8
0,código,bert-base-spanish-wwm-cased,[5510],7,7
0,código,bert-base-spanish-wwm-cased,[5510],8,7
0,depresión,bert-base-spanish-wwm-cased,[15065],9,8
0,depresión,bert-base-spanish-wwm-cased,[15065],9,8
0,depresión,bert-base-spanish-wwm-cased,[15065],9,8
0,depresión,bert-base-spanish-wwm-cased,[15065],8,8
0,depresión,bert-base-spanish-wwm-cased,[15065],8,8
0,depresión,bert-base-spanish-wwm-cased,[15065],8,8
0,estado,bert-base-spanish-wwm-cased,[1814],7,7
0,estado,bert-base-spanish-wwm-cased,[1814],7,8
0,estado,bert-base-spanish-wwm-cased,[1814],7,7
0,estado,bert-base-spanish-wwm-cased,[1814],7,8
0,estado,bert-base-spanish-wwm-cased,[1814],7,7
0,estado,bert-base-spanish-wwm-cased,[1814],8,7
0,fibra,bert-base-spanish-wwm-cased,[19169],6,7
0,fibra,bert-base-spanish-wwm-cased,[19169],6,8
0,fibra,bert-base-spanish-wwm-cased,[19169],6,6
0,fibra,bert-base-spanish-wwm-cased,[19169],6,6
0,fibra,bert-base-spanish-wwm-cased,[19169],7,8
0,fibra,bert-base-spanish-wwm-cased,[19169],7,6
0,fibra,bert-base-spanish-wwm-cased,[19169],7,6
0,fibra,bert-base-spanish-wwm-cased,[19169],8,6
0,fibra,bert-base-spanish-wwm-cased,[19169],8,6
0,fibra,bert-base-spanish-wwm-cased,[19169],6,6
0,firma,bert-base-spanish-wwm-cased,[6789],7,10
0,firma,bert-base-spanish-wwm-cased,[6789],7,8
0,firma,bert-base-spanish-wwm-cased,[6789],7,7
0,firma,bert-base-spanish-wwm-cased,[6789],10,8
0,firma,bert-base-spanish-wwm-cased,[6789],10,7
0,firma,bert-base-spanish-wwm-cased,[6789],8,7
0,fondo,bert-base-spanish-wwm-cased,[4627],7,7
0,fondo,bert-base-spanish-wwm-cased,[4627],7,7
0,fondo,bert-base-spanish-wwm-cased,[4627],7,8
0,fondo,bert-base-spanish-wwm-cased,[4627],7,7
0,fondo,bert-base-spanish-wwm-cased,[4627],7,8
0,fondo,bert-base-spanish-wwm-cased,[4627],7,8
0,fortuna,bert-base-spanish-wwm-cased,[11523],7,6
0,fortuna,bert-base-spanish-wwm-cased,[11523],7,7
0,fortuna,bert-base-spanish-wwm-cased,[11523],7,7
0,fortuna,bert-base-spanish-wwm-cased,[11523],6,7
0,fortuna,bert-base-spanish-wwm-cased,[11523],6,7
0,fortuna,bert-base-spanish-wwm-cased,[11523],7,7
0,frase,bert-base-spanish-wwm-cased,[9712],7,9
0,frase,bert-base-spanish-wwm-cased,[9712],7,8
0,frase,bert-base-spanish-wwm-cased,[9712],7,8
0,frase,bert-base-spanish-wwm-cased,[9712],9,8
0,frase,bert-base-spanish-wwm-cased,[9712],9,8
0,frase,bert-base-spanish-wwm-cased,[9712],8,8
0,frente,bert-base-spanish-wwm-cased,[2999],6,7
0,frente,bert-base-spanish-wwm-cased,[2999],6,6
0,frente,bert-base-spanish-wwm-cased,[2999],6,7
0,frente,bert-base-spanish-wwm-cased,[2999],7,6
0,frente,bert-base-spanish-wwm-cased,[2999],7,7
0,frente,bert-base-spanish-wwm-cased,[2999],6,7
0,función,bert-base-spanish-wwm-cased,[3753],6,6
0,función,bert-base-spanish-wwm-cased,[3753],6,6
0,función,bert-base-spanish-wwm-cased,[3753],6,6
0,función,bert-base-spanish-wwm-cased,[3753],6,6
0,función,bert-base-spanish-wwm-cased,[3753],6,6
0,función,bert-base-spanish-wwm-cased,[3753],6,6
0,gato,bert-base-spanish-wwm-cased,[10234],9,8
0,gato,bert-base-spanish-wwm-cased,[10234],9,9
0,gato,bert-base-spanish-wwm-cased,[10234],9,9
0,gato,bert-base-spanish-wwm-cased,[10234],8,9
0,gato,bert-base-spanish-wwm-cased,[10234],8,9
0,gato,bert-base-spanish-wwm-cased,[10234],9,9
0,guardia,bert-base-spanish-wwm-cased,[9225],7,7
0,guardia,bert-base-spanish-wwm-cased,[9225],7,7
0,guardia,bert-base-spanish-wwm-cased,[9225],7,9
0,guardia,bert-base-spanish-wwm-cased,[9225],7,7
0,guardia,bert-base-spanish-wwm-cased,[9225],7,9
0,guardia,bert-base-spanish-wwm-cased,[9225],7,9
0,guía,bert-base-spanish-wwm-cased,[9344],6,7
0,guía,bert-base-spanish-wwm-cased,[9344],6,6
0,guía,bert-base-spanish-wwm-cased,[9344],6,6
0,guía,bert-base-spanish-wwm-cased,[9344],7,6
0,guía,bert-base-spanish-wwm-cased,[9344],7,6
0,guía,bert-base-spanish-wwm-cased,[9344],6,6
0,hoja,bert-base-spanish-wwm-cased,[11333],7,7
0,hoja,bert-base-spanish-wwm-cased,[11333],7,7
0,hoja,bert-base-spanish-wwm-cased,[11333],7,7
0,hoja,bert-base-spanish-wwm-cased,[11333],7,7
0,hoja,bert-base-spanish-wwm-cased,[11333],7,7
0,hoja,bert-base-spanish-wwm-cased,[11333],7,7
0,hábito,bert-base-spanish-wwm-cased,[21494],7,7
0,hábito,bert-base-spanish-wwm-cased,[21494],7,7
0,hábito,bert-base-spanish-wwm-cased,[21494],7,8
0,hábito,bert-base-spanish-wwm-cased,[21494],7,7
0,hábito,bert-base-spanish-wwm-cased,[21494],7,8
0,hábito,bert-base-spanish-wwm-cased,[21494],7,8
0,lengua,bert-base-spanish-wwm-cased,[4422],8,7
0,lengua,bert-base-spanish-wwm-cased,[4422],8,8
0,lengua,bert-base-spanish-wwm-cased,[4422],8,8
0,lengua,bert-base-spanish-wwm-cased,[4422],7,8
0,lengua,bert-base-spanish-wwm-cased,[4422],7,8
0,lengua,bert-base-spanish-wwm-cased,[4422],8,8
0,llama,bert-base-spanish-wwm-cased,[4041],6,6
0,llama,bert-base-spanish-wwm-cased,[4041],6,6
0,llama,bert-base-spanish-wwm-cased,[4041],6,7
0,llama,bert-base-spanish-wwm-cased,[4041],6,6
0,llama,bert-base-spanish-wwm-cased,[4041],6,7
0,llama,bert-base-spanish-wwm-cased,[4041],6,7
0,mano,bert-base-spanish-wwm-cased,[3264],7,6
0,mano,bert-base-spanish-wwm-cased,[3264],7,7
0,mano,bert-base-spanish-wwm-cased,[3264],7,7
0,mano,bert-base-spanish-wwm-cased,[3264],7,7
0,mano,bert-base-spanish-wwm-cased,[3264],6,7
0,mano,bert-base-spanish-wwm-cased,[3264],6,7
0,mano,bert-base-spanish-wwm-cased,[3264],6,7
0,mano,bert-base-spanish-wwm-cased,[3264],7,7
0,mano,bert-base-spanish-wwm-cased,[3264],7,7
